关键控制系统	critical control system
复合控制系统	反馈－前馈控制系统
步进电动机	脉冲电动机
步进电动机	数字电动机
电触头材料	触头材料
外部过电压	大气过电压
外部过电压	雷电过电压
电缆软接头	厂制接头
电缆软接头	检修软接头
正常状态	normal
Ac	电枢线负荷
载流子	自由载流子
图像匹配与识别	景物匹配与识别
穿透焊	小孔焊
交流声	纯音
交互性	interaction
电磁线圈	加热线圈
电磁线圈	感应线圈
光电传感器	探测器
单调谐滤波器	单通滤波器
伺服机构	servo mechanism
反应堆控制材料	中子吸收材料
受电工程设计审核	图纸审核
受电工程设计审核	设计审核
Flash存储器	闪烁存储器
辐射式石英管电暖器	远红外线电暖器
360语言	a programming language
象鼻电缆终端	变压器电缆终端
内部结构进行结构测试	进程试验
数据挖掘	data mining
专家系统	基于知识型的系统
非计划停运	unplanned outage
Bg	气隙磁密
安全性	security
安全性	动态可靠性
电烙印	电斑痕
远方保护信号传输设备	高频保护收发信机
应急预案	应急救援预案
应急预案	应急计划
CP	clock pulse
发散冷却	发汗冷却
挡板	折流板
热扩散	索瑞
反孤岛保护	脱离主网保护
反孤岛保护	防孤岛保护
反孤岛保护	孤岛保护
障工作时间MTTF	mean time to failure
分散控制系统	集散控制系统
生物质低位发热量	生物质低位热值
绝缘屏蔽	外屏蔽
电极电位	电极势
阻抗继电器	impedance relay
刷握	刷盒
人工智能法	机器智能
全数字化激光成像机	波拉罗伊德阳光干片激光打印成像装置
非有效接地系统单相接地故障选线	小电流接地故障选线
DP	decentralization periphery
国外安稳控制措施	系统保护方案
主轴	大轴
电缆室	电缆层
太阳能光伏发电	光伏发电
湍流	turbulence
异步传输	起止式传输
自动调节励磁	自动电压调节
转子撬棒	crowbar
零点漂移	zeroing variation
接即忘	fix and forget
感应炉	感应电热装置
人体触电	触电
乏燃料处置	开式燃料循环
乏燃料处置	一次通过式燃料循环
现货电价	spot price
光电二极管	光敏二极管
直流电源室	充电机室
障停运	double outage
排渣控制阀	锥形阀
辅助存储器	外存储器
辅助存储器	文件存储器
抽取	extraction
LISN	line impedance stabilization network
七段字形译码器	七段译码器
集成需求	integrated demand
FF	foundation fieldbus
状态有时	停运状态
传统工程经济学	技术经济学
空化数	空泡数
空化数	空穴系数
交流电动机调速	交流调速
链轮闸门	履带式闸门
站内通信	intrastation communication
MEDox	oxidated mediator
电度电费	电量电费
检测阻抗	输入单元
973计划”	国家重点基础研究发展计划
准电容器	法拉第电容器
戴维南定理	亥姆霍兹－戴维南定理
静态特性	外特性
大负荷退磁	闭路退磁
共同模式停运	common mode outage
中值一般	行业值
可碎推式	马丁式
计算过程	部分算法
EEAC	extended equal area criterion
喷嘴调节方式	部分进汽
压力－时间法	吉普逊法
压力－时间法	水锤法
共享数据调制解调器	modem
摇头机构	摇摆机构
GW	网间连接器
托卡马克装置	环流器
峰值需求	peak demand
宜宾到宜昌段	川江
板片式	福哥
Dioxin	二氧杂芑
数字式励磁调节器	微机励磁调节器
导线表面电场强度	导线表面电位梯度
FORTRAN语言	formula translation
正弦波振荡电路	正弦波信号发生器
核电项目工程保险	核能工程保险
维修停运	maintenance outage
预期瞬态未紧急停堆保护系统	ATWS缓解系统
最大功率	maximum capability
最大功率	保证最大连续出力
随机控制理论	随机系统理论
随机控制理论	随机系统控制理论
径流式	向心式
扇区控制运行	限扇区运行
消力池	水跃消能塘
DNS	domain name system
传送语法	transfer syntax
蓝牙	bluetooth
换向极	附加极
换向极	间极
谐振	相位谐振
电压暂降	电压跌落
次暂态电抗	超瞬态
风电场无功电压控制系统	风电场AVC系统
横道图	甘特图
分光光度法	吸光光度法
薄绝缘浇注式	绕包浇注式
薄绝缘浇注式	绕包式
变压器耦合式振荡器	调集振荡器
送风机选型	二次风机
避雷器	限压器
避雷器	tube type surge arrester
输入输出法	正平衡法
电网调度管理	电力系统调度管理
电网调度管理	dispatching management of electric power network
PEBS	potential energy boundary surface
检查变流器撬棒电路	crowbar
IP	internet protocol
电除盐	电去离子
狄塞尔循环	等压加热内燃机循环
应急照明	不间断照明
技术支援中心	辅助操纵员系统
技术支援中心	操纵员支援系统
升压	boost
中间代码MSIL	microsoft intermediate language
光控晶闸管	光触发晶闸管
变动损耗	可变损耗
变动损耗	短路损耗
热绝缘材料	隔热材料
热绝缘材料	保温材料
平衡盘	平衡活塞
美国核动力运行研究院	美国核电运行协会
控制气氛电阻炉	可控气氛电阻炉
冲击式水轮机	佩尔顿水轮机
蒸发段	过渡段
Im	同步的X－Y
短路干燥法	铜损干燥法
炉底排渣装置	液压关断门
炉底排渣装置	大渣预破碎装置
阀电抗器	桥臂电抗器
超级电容器	super capacitor
调度命令	dispatching command
电力系统过电压	power system overvoltage
近场耦合	感应场耦合
岸式	shoreline devices
人工补偿	移相电容器
人工补偿	静电电容器
人工补偿	并联电容器
直流电压互感器	直流电压分压器
数字化变电站	digital substation
风力发电	wind power generation
电流相位比较式纵联保护	电流相位差动
空分复用	spatial multiplexing
半被动	半主动
供电可靠性管理	用户供电可靠性管理
低压负荷开关	开关熔断器组
系统思考	systems thinking
强磁场退磁	开路退磁
市场	capacity credit market
最小频移键控	快速频移键控
衰变	跃迁
拒分	failure to open
强冲击波	激波
该功率	铭牌功率
瞬时需求	instantaneous demand
同调	coherent
电力系统频率调整	电力系统频率控制
子站	分中心
子站	分站
间谐波	分数次谐波
间谐波	分数谐波
热损失法	反平衡法
计量柱塞泵	比例泵
开闭所	开关站
电容率与损耗因数试验	介质损耗角正切
尼科尔斯图	对数幅值－相位图
直流电场	合成电场
预防控制	preventive control
危急保安器	危急遮断器
危急保安器	超速保安器
上述变换	坐标变换
上述变换	基底变换
核电厂三维数字化系统	数字核电厂
DSA	digital signature algorithm
HCFC22	R22
遥测	远程测量
基于互联网	internet
偏倚	系统偏差
集成运算放大器	线性集成组件
推理公式法	合理化法
冲击吸收能量	impact absorbing energy
电力电子型故障电流限制器	固态型故障电流限制器
除尘效率	收尘效率
除尘效率	捕集效率
除尘效率	分离效率
CFC11	R11
CFC12	R12
液力联轴器	液力耦合器
地热能	地热
地热能	地温梯度
真空油车	油处理装置
内锚固段	内锚头
导爆索	爆炸导火索
导爆索	传爆线
叶轮振动	称轮系振动
叶轮振动	叶片－轮盘系统振动
光学聚光比	通量聚光比
DTU	distribution terminal unit
由于低频扭曲波	torsinal wave
计划检修	schedule maintenance
窄频ISDN	integrated services digital network
含湿量	比湿
磁通密度	磁感应强度
固定需求	firm demand
平均贴现成本	平准化成本
上两式	散射方程组
架空输电线路雷电过电压防护	屏蔽失效
资源	useful resourses
状态检修	预知性维修
基准值	目标值
黑度	发射率
同步器	转速变换器
亥姆霍兹函数	定温－定容位
亥姆霍兹函数	亥姆霍兹自由能
霍普菲尔德	hopfield
紧急停堆保护系统	紧急停堆系统
PA	process automation
PC	person computer
PC	personal computer
系统通信	站间通信
特种橡胶	耐油橡胶
特种橡胶	耐热橡胶
增强型	VMOSFET
软起动器	固态软起动器
水平围绕	螺旋围绕
自行式索道	rope monorail
PM	project managment
PN	伪随机码
PN	伪随机噪声码
最大发电量	maximum generation
实际系统	原型
数字电路	数字逻辑电路
电力系统在线安全分析	电力系统在线安全评估
管壳式	列管式
斩波控制直流调速	脉冲控制直流调速
调洪库容	防洪库容
电压源型直流输电	轻型直流输电
电压源型直流输电	柔性直流输电
电磁灶	电磁炉
暂态电抗	瞬态
及后向散射耦合	backscatter coupling
碳化硅阀式避雷器	ordinary valve type surge arrester
快堆冷却剂系统	热传输系统
照度	光照度
同调发电机	coherent generator
有功功率与频率自动控制	自动发电控制
凝聚	coalescence
开放输电系统	open transmission access
电力零售市场	retail market
灵活交流输电系统	柔性交流输电系统
核电厂修改项目管理	技术改造
磁阻电动机	反应式同步电动机
保护间隙	protective gap
异常检测	anomaly detection
调幅器	amplitude modulator
高程	海拔
配合系数	间隔系数
纵断面测量	纵剖面测量
利润表	损益表
负荷	load
特高压	ultra high voltage
肖特基二极管	其为热载流子二极管
RC	积分增益
离子导体	第二类导体
焊接性能	可焊性
随机性信号	不确定性信号
MIS	management information system
剩余反应性	后备反应性
电流谐振	并联谐振
抗性消声器	声学滤波器
扰动均可能引起次谐波电流	次同步暂态电流
设计模拟模型	analog model
混合物	一次风
业务连续性	business continuity
科技保密	科学技术保密
概率	probability of a command failure
飓风	hurricane
输入/输出处理机	外围处理机
大功率电力半导体器件	high power semiconductor devices
有机发光显示器	OLED显示器
暗装式	嵌入式插座
非门	反相器
电气设备接地装置	接地引下线
电气设备接地装置	接地极
带串联间隙金属氧化物避雷器	metal oxide surge arrester with gaps
电压源逆变器	voltage source inverter
矿井提升机	矿井卷扬机
适应控制系统	自适应控制系统
特种分析	非常规分析
控制系统	输入回路
汽轮机热力特性曲线	威廉斯线
SV	sampled value
电量电价	变动电价
超过滤	超滤
自励磁	凸极同步自励磁
定期会议	股东常会
差价合同	contract for differences
电力系统绝缘配合	insulation coordination
三部制电价	用户费用
电子导体	第一类导体
压力管道	高压管道
研究对象时	岩体力学
计划	plan
备用电源	第二电源
小型风力发电机组叶根连接结构	叶柄
底层指标	叶项指标
标准	reference
风能资源数值模拟	numerical simulation of wind energy resource
工艺方法	WSA
触发角	控制角
电场耦合	容性耦合
电源建设规模	在建规模
磁通计	韦伯计
磁通计	特斯拉计
宜昌段	川江
开槽波导加热器示意图	蛇形波导加热器
校正控制	corrective control
获得调节库容	有效库容
获得调节库容	兴利库容
里控制信号	地址信号
控制方式	带有断点的自起停控制
VB	visual basic
热能单位是卡	cal
互联网	因特网
VR	灵境
VR	人工环境
VR	虚拟环境
汽轮发电机额定功率	额定出力
杂散损耗	附加损耗
锌－汞干电池	汞电池
燃料抓取机	乏燃料水池吊车
自动同步离合器	3S离合器
向斜蓄水构造	自流盆地
两端口	四端
近岸式	nearshore devices
数字相位表	数字相位计
内置式无极荧光灯	高频无极荧光灯
回馈制动	再生制动
水电站	水力发电站
水电站	水力发电厂
水电站	河床式水电站
主调节器	校正调节器
索式挖掘机	拉铲挖掘机
索式挖掘机	索铲
成本费用管理	成本管理
速度控制	一次调频
磁场强度线	H线
SSCL	solid state current limiter
三相桥式换流器	换流桥
操作员站	operating station
中压	medium voltage
棒状燃料元件	燃料棒
火力发电厂仪表与控制设计	仪表和控制设计
外部大气相通的	开启式
避雷针	导闪针
导轨式风动凿岩机	岩石钻机
6脉动换流器	换流桥
对电磁敏感对象	无用信号
变压运行	滑压运行
供电管理	输配电系统运行管理
油囊式轴承	袋式轴承
物理量	泄漏率密度
无源分光器	splitter
该装置进行危急保安器活动试验	充油试验
防洪限制水位	汛期限制水位
配电台区	直配台区
电容率	介电常数
无心感应熔炼炉	坩埚感应炉
生物质热解制氢	生物质热分解
MOS场效应晶体管开关	模拟开关
轴承合金	轴瓦合金
介质加热	电极式高频电场加热
就地型	分散型
N2O	氧化亚氮
N2O	笑气
Z3接成星形	形
通常取开环增益	开环放大系数
结构容量	电磁容量
一级处理	机械处理
漂移	wander
热传导	导热
转换比	增殖比
料位检测	物位测量
对干式冷却系统	空冷系统
分类	classification
母体暴露时间	population exposure duration
扩频通信	扩展频谱通信
对流换热	对流放热
一兆像素	megapixel
空蚀	气蚀
变电站	substation
机组为主	航改型燃气轮机
共模停运	common mode outage
复合绝缘子	合成绝缘子
T型接头	丁字接头
通风式低耐压型安全壳	包容体
堆芯	活性区
非相干光	noncoherent
电网标准	输变电标准
超同步共振	倍频共振
担峰荷	调峰
击穿保险器	sparkover protective device
extreme emergency	部分停机限电状态
拒合	failure to close
频率特性	正弦传递函数
脉动数	脉波数
敞开式开关柜	开启式开关柜
弱风化	中等风化
岩体变形试验	刻槽法
处理	action
电力系统经济调度	电网经济调度
电流互感器	current transformer
深孔	底孔
温度标尺或简称温标	绝对温标
温度标尺或简称温标	开尔文温标
水能利用学	水能学
光阴极	反电极
如铒	erbium
嵌镶块	亚晶
嵌镶块	亚结构
情报检索	广义的情报检索
鱼梯	鱼道
实际发电量	actual generation
概率论安全分析	概率安全分析
冲击式水轮机尾水槽	泄水槽
定理	磁路的基尔霍夫第一定律
定理	磁路的基尔霍夫第二定律
厂用工作变压器	单元厂用变压器
管棚支护	超前钢管法
背靠背直流输电系统	非同步联络站
感应透热装置	感应加热炉
管道水力瞬变	管道非恒定流
布风板阻力	空床阻力
小扰动稳定计算	静态稳定计算
对电极	反电极
对电极	光阴极
方均根值	rms
它由许多线圈	元件
光二极管	photo diode
生物质水解单元	糖化单元
相干光	coherent
对离子	相反离子
对离子	解离离子
升阻比	气动效率
混合工质	多组元工质
停堆棒	黑棒
物理仿真装置	物理模型
物理仿真装置	物理模拟装置
风力农场	wind farm
间接效益	二次效益
间接效益	社会效益
相位调制	幅度键控
Z31接成三角形	形
扭应力继电器	torsional stress relay
热储层	热储
热储层	地热储
数学描述	系统数学模型
只需测量稳定状态	静态
中国国家高程控制网	国家水准网
称重换算成面积	称重法
蒸汽压力	饱和蒸汽压力
基尔霍夫第一定律	基尔霍夫电流定律
不设巡视通道的	半高型布置
风动凿岩机	风钻
遥信	远程信号
IPS	internet protocol security
耗尽层	内电场
半导体探测器	固体电离室
中间负荷	腰荷
物理交联	辐照交联
感性耦合	磁场耦合
保健性因素	维护性因素
电力公司	electric utility
中性点不接地	中性点非有效接地
中性点不接地	小电流接地
变径床	变径双室浮床
夹断电压UGS	off
机电致发光图像电子显示器	有机发光二极管
荧光灯	日光灯
手动控制	司机驾驶
大地构造	地壳构造
遥信状态一般由1个比特	bit
标准电池	韦斯顿电池
直流牵引变电所及接触轨	第三轨
压水堆轴封式冷却剂循环泵	主泵
发电系统	闪蒸地热发电系统
旋转伏特计	场磨
事先主动检修	condition based proactive maintenance
三角结构	三部件结构
锅炉	蒸汽发生器
水蒸气	蒸汽
奥托循环	等容加热内燃机循环
序分量法	对称分量法
衰减系数	吸收系数
预制终端	直角电缆终端
风电机组平均故障间隔时间	平均无故障时间
IRR	增量投资内部收益率
万能式断路器	框架式断路器
石方洞挖	石方暗挖
沼气发生器	自动净化器
二次涂覆	套塑
变开距结构	外喷射式
雷击过电压	大气过电压
斩波	chopper
Verilog HDL更适合RTL	register tansfer level
间歇式驻波场谐振腔加热器	微波箱
零伏电压	基准电压UR
流动边界层	速度边界层
于机构外部	off premise
市场交易机构	power exchange
锁定放大器	锁相放大器
近地面层	常通量层
风电场有功功率控制系统	风电场自动发电控制系统
解析模型	网络模型
汽轮机油	透平油
平均持续时间	average duration of a state
控制装置	远方终端装置
辐射形配电网	放射式配电网
电力系统调度	power system operator
多路选择器	数据选择器
实施容量机制	capacity mechanism
联动装置	集中控制盘
该电缆终端有时	SF6终端
竖直抓斗式清污机	颚式清污机
搜索	查找
压水堆堆芯	活性区
同步指示器	同步表
同步指示器	整步表
危险性因素控制表	危险点预控措施手册等
危险性因素控制表	危险点控制标准
混凝式间接空冷系统	海勒式空冷系统
构成专家控制	expert control
固定损耗	空载损耗
掘进台车	多臂钻
控制循环锅炉	辅助循环锅炉
控制循环锅炉	强制循环
信道	channel
信道	通道
详算法	水动力学方法
光生伏打效应	photovoltaic effect
频率检波	鉴频
鼓泡流化床锅炉	鼓泡床锅炉
鼓泡流化床锅炉	沸腾锅炉
伯德图	对数坐标图
计算机应用	表达模型
抗燃液	fire resistant fluid
调度自动化主站系统	调度控制中心系统
松弛动态规划	降维动态规划
FATTn	fracture appearance transition temperature
贮备电池	活化
电阻标尺	反向刻度
指令	访管
污染物	污染因子
环境监测地点	断面
开停机计划	unit commitment
低压断路器	自动空气开关
低压断路器	自动开关
低压断路器	自动断路器
供电服务热线	供电服务呼叫中心
反应堆周期T	反应堆时间常数
余热	废热
堆芯保护系统	限制系统
地热异常区	大地热流密度
地热异常区	地热区
天然温室效应	natural greenhouse effect
磁致伸缩效应	焦耳效应
波浪	液体自由表面波
电屏蔽（板	磁屏蔽板
配电网过电压保护	大气过电压
配电网过电压保护	雷电过电压
GPRS	general packet radio service
里约热内卢宣言》	地球宪章
失效分析	损坏分析
库仑岛	量子点
模拟	analog
枝江到城陵矶段	荆江
回火脆性	不可逆回火脆性
该炉型	携带床气化炉
自我超越	personal mastery
中压配电网中性点接地方式	中压配电网中性点运行方式
珠光体耐热钢	珠光体热强钢
边界状态	marginal
用电电价结构	销售电价结构
交流弧焊电源	弧焊变压器
地温	地表温度
纵倾排水量修正曲线	纵倾1cm排水量变化曲线
控制向量	输入向量
康铜	constantan
联络线交换计划	transaction schedule
AHP	analysis hierarchy process
备用	reserve
大功率电力电子器件	大功率电力半导体器件
高效微粒空气过滤器	绝对过滤器
指令计数器	程序计数器
夏时制	经济时
暴露次数	exposure times
特紧急状态	extreme emergency
叶片	桨叶
公众辐射防护评价	环境辐射防护评价
保护接地	安全接地
模型预测控制	model predictive control
碳化硅电炉	金刚砂电炉
能源	能量资源
工业电视	工业
GPSS	general purpose system simulator
绝缘特性服从巴申定律Ud＝f	p d
有效值	方均根值
属安全级	IE级
炉膛安全监控系统	燃烧器管理系统
密切尔式径向轴承	自动调节中心式轴承
质量检测仪表	在线化学检测仪表
金属箔电容器	metal foil capacitor
电磁暂态计算程序EMTP	electromagnetic transient program
容量	available capacity
月负荷特性指标	月不均衡率
区域控制	region control
调度管理体制	dispatching management institution
共同愿景	building share division
关联	association
感应电动机	异步电动机
受限	formal
电力晶体管GTR	giant transistor
小型	small
工程阶段验收	过程验收
供电营业厅	供电营业网点
核燃料资源	裂变核燃料
核燃料资源	核燃料矿产资源
核燃料资源	重氢
核燃料资源	聚变核燃料
停电自锁照明控制	二次开关
组织结构	组织框架体系
时钟	频率同步
6脉动	6脉波
泡克尔	pockels
可倾瓦轴承	称自动调节中心式轴承
可倾瓦轴承	密切尔式径向轴承
L棒组	负荷棒组
季节性减少出力	seasonal derating
ETC	existing transmission commitment
发电机	运行系统与待并系统
岸边溢洪道	溢洪道
准确度	accuracy
汽轮发电机出力图	发电机无功出力曲线
相关器	相敏检波器
金属与非金属组合护套	简易金属护套
金属与非金属组合护套	综合护套
混合用户	mix customer
水轮发电机组动力特性	微增率
水轮发电机组动力特性	机组出力
数字频率表	数字频率计
中间继电器	辅助继电器
项目核准制	企业投资项目核准制
单位阶跃响应曲线	单位飞升曲线
隐极同步发电机	cylindrical rotor synchronous machine
电能表保证金	电表保证金
进行梯级利用	接力开发
微型	micro
光分配网全部由光分路器	splitter
坩埚	水冷铜结晶器
坩埚	结晶器
矫正性检修	corrective maintenance
网络接口板	通信适配器
网络接口板	通信控制卡
微电网	微网
安全可靠性	零排放系统
置0维持线	置1阻塞线
走行部分	转向架
该模式	电力库模式
CDMA	code division multiple access
重力水	自由水
抗燃油	抗燃液
国民经济评价	经济分析
违章用电	违约用电
㶲	有效能
㶲	可用能
农村电力网电气设备	农网装备
螺栓型T接线夹	可卸型夹板式T接线夹
富氧燃烧	纯氧燃烧
直接序列扩频	direct sequence spread spectrum
复杂度为O	nlogn
极限波长λ0	红限
热焓	hfg
事故闸门	快速闸门
降阶观测器	降维观测器
洗衣干衣一体机	洗干一体机
锅筒水位控制系统	给水调节系统
生物质发电	biomass power generation
企业成员账户	二级账户
电力系统中期发展规划	电力系统设计
池内沸腾换热	大容器沸腾换热
供电可靠性	用户供电可靠性
床下加热点火装置	风道燃烧器
使离子交换膜电解法	离子膜电解法
低压	low voltage
巴	bar
来世界一次能源供应总量	一次能源消费总量
高可用性	high availability
电子束精密加工装置	电子束加工机
定时信号	节拍信号
全站型电子速测仪	electronic total station
冲泻质	非造床质
电感三点式振荡器	哈特莱振荡器
现实模型	最佳估算模型
主控系统	负荷控制系统
沙垄	dunes
电压谐振	串联谐振
光伏发电标准	standard for photo voltaic
静态安全分析	N－1潮流计算
钝化发射极背部局域扩散	passivated emitter real local contact
障树分析方法	fault tree analysis
人机界面	人机系统
机组降低出力	unit derating
发电系统模型	容量模型
发电系统模型	容量停运概率表
斯塔德福森	stadsforsen
充电接口技术	充电接口连接技术
定桨距风电机组	失速型风电机组
科技评价	科学技术评价
拖曳力	推移力
推荐性标准	非强制性标准
推荐性标准	自愿性标准
等百分比型	对数型
隐性故障	hidden failure
本征型电致发光原理	德斯特里奥电致发光原理制成的
水泵水轮机	可逆式水轮机
太阳能电池	光伏电池
钎焊	真空钎焊
环境风洞	大气边界层风洞
按用电最大需量计算	按最大需量计算
最大比热区也能发生传热恶化	类膜态沸腾
前馈控制	开环控制
系数法	流明法
空间电荷区	耗尽层
切弹性模量	刚性模量
切弹性模量	剪切模量
切弹性模量	切变模量
重水堆热传输系统	主热传输系统
无延性转变温度	脆性转变温度
COBOL语言	common business oriented language
乏	无功伏安
盘形悬式绝缘子	帽－脚形悬式绝缘子
负极	燃料电极
负极	电池阳极
叶尖扰流器	叶尖刹车
单位冲激函数δ（t	狄拉克函数
瑞典克昆	kockums
电力市场运营系统	电力市场技术支持系统
积毒阶段	碘坑最大值
转子位置传感器	位置检测器
载氧体	载氧剂
甚高温气冷堆	超高温气冷堆
辐射	光子
偏差系数	偏态系数
拉线绝缘子	隔地绝缘子
内网	intranet
磁吹避雷器	magnet valve surge arrester
节点	平衡节点
节点	缓冲节点等
高压功率MOSFET门极驱动电路	高压浮动MOS门极驱动器
式中B	bias
起爆组件	点火器
砷化镓场效应晶体管	金属－半导体场效应晶体管
蠕变	徐变
低温气体氮碳共渗	气体软氮化
接触线	电车线
电介质击穿	电气强度
提高引水线	引水拐脚
奈奎斯特图	极坐标图
分组交换域	packet switched domain
静止移相器	电子移相变压器
静止移相器	晶闸管控相角调节器
出厂试验	例行试验
立堵法	进占法
隧道	电缆隧道
状态量	遥信量
磁屏蔽	磁分路
诊断试验	补充试验
明渠不恒定流	明渠非恒定流
节能	节约能源
交流变频器	直接变频器
交流变频器	周波变流器
交流变频器	正弦型交流－交流变频器
远场耦合	电磁波耦合
无线电通信	无线通信
编程器	烧录器
巴拉那河	拉普拉塔河
差动放大电路	差分放大电路
风险告知	风险指引
数据服务器	数据处理中心
数据处理终端	data processing
记忆模型	controlled interval and memory model
SAFER	stress analysis and fracture evaluation of rotor
火电计划	thermal schedule
CCT曲线	continuous cooling temperature
混凝土骨料	混凝土集料
耗差分析	偏差分析
绝对值	真空度
额定功率	rated power
红外加热	电红外辐射加热
输水管	配水环
施工预算	工料机预算
施工预算	计划成本
施工预算	工程施工成本计划
限扇区控制运行	扇区控制运行
后备备用	冷备用
新装增容	增容用电
新装增容	新装用电
三相并励换向器电动机	施拉盖电动机
除应提出计划任务书	设计任务书
管理业务	网络管理环境
锅炉经济运行	保持最高锅炉净效率的运行
较量仪器	比较式仪器
脱硫技术	reflux circulating fluid bed flue gas desulfurization
全球卫星导航系统	global navigation satellite system
棒式绝缘子	瓷拉棒
拉丁美洲禁止核武器条约》	特拉特洛科条约
欧洲ENIQ	european network for inspection qualification
水汽质量监测仪表	在线化学监测仪表
水文测验	水信息技术
大卡	kcal
贯流式水泵水轮机	双向可逆式水轮机
两部制电价	准备费
产电比	ratio of output value to unit electric energy consumption
自激振荡	等幅振荡
发裂	白点
发裂	鱼眼
支撑平台	支撑环境
支撑平台	支撑软件
快速型NOx	瞬态NOx
核聚变三乘积条件	核聚变三乘积判据
确定性准则	deterministic criteria of transmission system reliability
知识控制	knowledge control
水电计划	hydro schedule
UMTS	universal mobile telecommunications system
美国及欧洲核电厂业主互保组织	mutual
半不变量	cumulant
间隙	磁头的浮动高度
间隙	火花间隙
STATCOM	DSTATCOM
离散控制系统	离散时间系统
离散控制系统	采样数据系统
离散控制系统	离散数据系统
离散控制系统	离散系统
电力系统调度机构	power system operator
图中CAC	condition acquisition controller
及联锁电路	允许电路
可靠性等重要性能指标	performance indices
最低励磁限制	欠励限制
装载	load
消能设施	消能工
单向脉冲宽度调制交－直－交变流器	全功率变流器
合成气	syngas
汽轮发电机	隐极同步发电机
汽轮发电机	透平型发电机
汽轮发电机	隐极发电机
离网光伏逆变器	独立逆变器
额定负载	额定容量
能源强度	能源消费强度
锌电积	锌电解
放大电路的频率特性	频率响应
热力学系统	系统
热力学系统	热力系
模拟乘法器	模拟相乘器
阻燃电缆	难燃电缆
一兆字节	megabyte
蒙特卡罗模拟法	随机模拟法
蒙特卡罗模拟法	统计试验法
工程技术	engineering
相电抗器	桥臂电抗器
相电抗器	阀电抗器
D棒组	多卜勒
电极极化	极化
自容式充油电力电缆	充油电力电缆
自容式充油电力电缆	OF电力电缆
广域网	远程网
水锤	水击
电热锅炉	电锅炉
履带牵引机	输送机
导热系数	导热率
导热系数	热导率
铜铁损电量	变压器的负载损耗电量和空载损耗电量
属性	attribute
金属氢化物	贮氢合金
潮流计算P-Q分解法	快速分解法
表凝式间接空冷系统	哈蒙式空冷系统
灾难恢复	disaster recovery
单一故障	安全组合
深潭	chutes and pools
电缆护层保护器	金属屏蔽层电压限制器
核电厂汽轮发电机	透平型发电机
电力拖动典型负载特性	负载转矩特性
输入/输出设备控制器	外围设备控制器
必需容量	替代容量
多重故障	multiple failure
电压控制型FA	电压－时间控制型FA
执行过程分成几个基本周期	机器周期
骚扰电压测量	传导发射电压测量
交错式绕组	交叠式绕组
汽轮发电机最大容量	最大输出功率
溶解氧表	在线溶解氧表
光热发电标准	standard for solar thermal
压水堆冷却剂系统	一次冷却剂系统
压水堆冷却剂系统	一回路主系统
APT语言	automatically programmed tools
基尔霍夫第二定律	基尔霍夫电压定律
CIM模型交换格式CIM RDF	resource description framework
规范型	标准型
爬模法	提模法
数字信号电路中	逻辑地
输电容量	输送容量
输电容量	输电能力
最大连续铭牌出力	maximum continuous rating
合金元素迁移	合金元素再分配
电抛光	电解抛光
财务集约化管理	finance intensification management
床上燃烧器	起动燃烧器
核能	原子能
施工详图设计阶段	施工建设阶段
功能性接地	工作接地
噪声	noise
辅助绕组	起动绕组
激光工作物质	激活媒质
舱室冷却系统	余热排出系统
实际电气照明设计中	逐点计算法
环形配电网	环式配电网
报警过滤	alarm filtering
绝缘栅场效应晶体管	MOSFET
燃气透平	涡轮
遥控	远程控制
增强温室效应	enhanced greenhouse effect
最大电压系数	cmax
热力学性质	平衡性质
市场主体	marker participants
配电地理信息系统	自动绘图/设备管理/地理信息系统
电力半导体器件	power semiconductor devices
