关键控制系统	critical control system
多样化保护系统	多样化驱动系统
煤层气	煤层瓦斯
煤层气	煤层甲烷
燃料电池	fuel cell
空载损耗	不变损耗
空载损耗	铁损
空气湿电池	空气电池
设备重要度	风险
抽象语法	abstract syntax
改进	action
锰干电池	碱性锌－锰干电池
锰干电池	充电式干电池
锰干电池	酸性锌－锰干电池
IGBT	insulated gate bipolar transistor
发电机无功出力曲线	generator reactive capability curve
气流床	喷流床
超高压	extra high voltage
空气干燥基水分	固有水分
反应堆动力学	reactor dynamics
工程进度计划纠偏	action
状态观测器	状态重构器
状态观测器	状态估计器
SSL	secure sockets layer
浮置栅	栅极
磁带驱动器	磁带机
电力线载波信号模式分析计算	模分量分析法
电力线载波信号模式分析计算	模分量法
处理规程	A规程
处理规程	U规程
溢流坝	滚水坝
波束成型	beamforming
磁矢位	磁矢势
直接影响	即显性影响
自然对流换热	自由运动换热
用户	客户
并联组合	诺顿等效电路
最小方差估计	条件均值估计
电网换相变流器	line commutated convertors
辐射监测计划	监测大纲
同步振荡（swing; synchronous oscillation	同步摇摆
絮凝	flocculation
初阶DSS	传统决策支持系统
空穴对	光生载流子
冰川	冰盖冰川
冰川	高山冰川
最大超负荷功率	maximum overload capability
标准大气压	atm
流变学	麦克斯韦
流变学	开尔文
流变学	宾汉体
控制变量	输入变量
直流式	平流式
溶液温度系数STC	solution temperature coefficient
直流电位差计	直流补偿器
循环冷却水	温排水
TTT曲线	time temperature transformation curve
机组系谱	unit pedigree
电力系统调度管理	电网调度管理
电力系统调度管理	dispatching management of electric power system
红宝石激光	laser
古河床	古河道
均衡理论	regime theory
薄绝缘	绝缘电缆
电压电流控制型FA	电压－电流－时间控制型FA
机物	需氧污染物
丰满水库	松花湖
势流	无涡
因子分解法	准静态方法
感应加热法	油箱铁损法
劳逊条件	劳逊判据
运行	service
离差系数	变差系数
热力过程	汽轮机膨胀过程
调幅系统	双边带调制
安装间	装配场
安装间	安装场
安装间	装配间
安全照明变压器	行灯变压器
独立强迫停运	independent forced outage
锌－锰干电池	勒克朗谢电池
锌－锰干电池	碳－锌干电池
母线接地开关	母线接地器
电能表误差	电能表的相对误差
非具体化的技术进步	索洛残差
连接体	双极板
全水分	收到基水分
独立停运	independent outage
自动转换开关	双电源开关
障率函数	failure rate function
半柱面照度	空间照度
防振装置	阻尼器
防振装置	防振器
地热发电方式	中间介质法
地热发电方式	双循环法
安全性评估	transmission system security evaluation
骚扰电流测量	射频骚扰电流测量
由分离原理	分离定理
国家电网”	统调电网
垂直烧结炉	垂熔炉
干热岩地热资源生产系统	增强型地热系统
交流换向器电动机	alternating current commutator motor
分数谐波	次谐波
非对称数字专线ADSL	asymmetric digital subscriber line
钢包	钢水包
钢包	盛钢桶
铁氧体	磁性瓷
铁氧体	铁淦氧
橡胶	橡皮
小波	子波
贸易结算计量点	计费计量点
需要施加逸出功	功函数
闪存	flash memory
平均功率	有功功率
平均功率	有效功率
交流整流子电动机	交流换向器电动机
压水堆控制棒组件	黑棒
压水堆控制棒组件	棒束控制组件
平均修复时间MTTR	mean time to repair
间接影响	后效性影响
CAPP	computer aided process planning
动床平整	flat bed
堆芯熔融物收集与冷却设施	安全壳底板保护系统
堆芯熔融物收集与冷却设施	堆芯捕集器
控制棒	吸收棒
谐波	高次谐波
些垃圾	可回收资源垃圾
频率响应法	简称频率法
频率响应法	频率特性法
合同需求	contract demand
电能表	电度表
电能表	千瓦时表
SIMULA67语言	simulation language
Com.	communication
源滤波装置	有源谐波抑制装置
远场	辐射场
进行二次除氧	深度除氧
工作波长	operating wavelength
两端直流输电	端对端直流输电
无功功率与电压自动控制	自动电压控制
台风	typhoon
资金池	cash pooling
零序电流干燥法	零序磁通法
安全性评价	危险性评价
安全性评价	安全评价
安全性评价	危险评价
抖动	jitter
管内沸腾换热	流动沸腾换热
安全壳泄漏率试验系统	安全壳整体密封性试验系统
投资回收期	investment recovery period
空中客车	aerobus
熔融盐蓄电池	高温电池
双库式	高低库式
蠕变力学	creep mechanics
电力电量平衡	电力系统运行模拟
升压变电站运行监控系统	升压变电站综合自动化系统
短波长泵浦激发	pumping
定子	电枢
OTC	柜台交易市场
辐照肿胀	空化肿胀
灰色预测模型	grey model
坝线	坝轴线
电化学电容器	大容量电容器
电化学电容器	超级电容器
开敞式进水口	无压进水口
理论建模	分析建模
可及资源基数	accessible resourses base
可及资源基数	accessible resources base
定子绕组	电枢绕组
《供电营业规则》	供用电规则
2台反应堆冷却剂泵	主泵
电气化铁路	电气化铁道
随机水文过程	水文时间系列
无限竞争性公开招标	unlimited competitive open bidding
辉光放电加热	离子加热
直流电动机调速	直流调速
二进制同步通信规约	BISYNC
汽蚀裕量	净正吸入压头
非辐射工作场所	非限制工作区
直流电动机调磁调速	直流调磁调速
阻性耦合	电流场耦合
等离子体枪	等离子体发生器
等离子体枪	等离子体炬等
电力牵引CC供电方式	同轴电缆供电方式
SARFI	curve
测功法甩负荷试验	甩汽负荷试验
甲基橙碱度	全碱度
兴利库容	有效库容
兴利库容	调节库容
网上供电营业厅	互动供电服务网站
数字水准仪	电子水准仪
指数	互换性因子
小型断路器	微型断路器
起动/备用变压器	公用/备用变压器
相对电容率	相对介电常数
收敛约束法	convergence confinement method
模态法	modal analysis
连接母线都流过低于工频	次同步
熔断器	快速熔断器
丝管式	钢丝式
云计算	cloud computing
控制	辅助
色金属	非铁金属
主磁极	主极
工程进度计划检查	check
制冷工质	制冷剂
PLCC	plastic leaded chip carrier
锅炉化学清洗	酸洗
整车控制器	vehicle control unit
微弧焊	针弧焊
微弧焊	微束等离子体弧焊
串联电容补偿装置	固定串联电容补偿装置
STATCOM原	新型静止无功补偿装置
计算机监视系统	数据采集系统
电缆输送机	履带牵引机
大气过电压	雷电过电压
水头	落差
蓄电池	二次电池
蓄电池	storage battery
鲁棒性	robustness
主氦风机	主氦气循环风机
静止同步补偿装置	静止无功发生器
铁碳平衡图	铁碳相图
压水堆核蒸汽供应系统	核供汽系统
容性耦合	电场耦合
临界流	壅塞流
临界流	声速流
高压	high voltage
CAE	computer aided engineering
前屏	大屏
前屏	分隔屏
CAG	condition acquisition gateway
旋转备用	热备用
迎面先导	上行先导
组织反应	确定效应
电刷	碳刷
汽轮发电机定子	静子
要素	资产负债表项目分类
固定电压法	定电压跟踪法
固定电压法	恒定电压控制法
降低初始燃烧区	一次区
CAQ	computer aidied quality
单位产品（产值）耗电	产品
木质素	lignin
进行输水系统水力过渡过程计算	调节保证计算
转移因子	转移因数
纤维素	cellulose
光再生器	regenerator
不可用状态	内因不能工作状态
替代备用	后备备用
替代备用	冷备用
TCP	transmission control protocol
前置预热器	暖风器
电力系统过电压模拟	暂态网络分析仪
执行机构	执行器
配电系统网络重构	配电网络再组合
顺磁性	常磁性
铅酸蓄电池	lead acid battery
涡流	有涡
ADCP	acoustic doppler corrent profiler
CBM	capability benefit margin
吉布斯函数	定温
吉布斯函数	吉布斯自由能
固体力学中	蠕变力学
基本电价	需量电价
基本电价	容量电价
基本电价	固定电价
轮盘系统振动	轮系振动
安全仪表系统	safe instrument system
模糊性	fuzziness
磁机械效应	磁记忆效应
斜流式水轮机	对角式水轮机
斜流式水轮机	德里亚水轮机
欧洲原子能联营	欧洲原子能共同体
数字	digital
视频会议系统	会议电视系统
施工总变电站	施工总降压站
监理工作	设备监造
主站	中心站
主站	管理中心
主站	主站系统
菱形晶系	–SiC
沙浪	antidunes
电容三点式振荡器	科皮兹振荡器
换热系数	表面传热系数
弹性力学	弹性理论
状态	unavailable
状态	available
产生电磁转矩	整步转矩
膜态沸腾	传热恶化
晶闸管	晶体闸流管
晶闸管	thyristor
预测控制	模型预测控制
燃料包壳完整性监督	燃料破损监督
完全译码器	唯一
